CLO,MET,WME,TA,TR,VEL,RH,PA,APA
0.5,1.1,0,28.3,24.5,0.1,50,0,101.325
1,0.9,0,18.5,27.1,0.5,58,0,101.325
0.5,1.1,0,25.1,29.5,0.5,75,0,101.325
0.5,1.1,0,26.1,21.7,0.1,61,0,101.325
1,0.9,0,29.9,20.5,0.8,70,0,101.325
0.5,0.9,0,22.9,26.1,0.05,58,0,101.325
0.5,1.1,0,29.3,29.3,0.1,55,0,101.325
0.5,1.1,0,18.7,31.5,0.3,60,0,101.325
0.5,1.1,0,25.3,30.5,0.3,60,0,101.325
0.5,0.9,0,26.9,28.9,0.1,70,0,101.325
0.5,1.1,0,21.7,22.1,0.05,64,0,101.325
1,1.1,0,21.1,25.7,0.1,54,0,101.325
0.5,0.9,0,22.7,20.1,0.1,46,0,101.325
1,0.9,0,26.7,21.3,0.8,71,0,101.325
1,0.9,0,24.1,23.1,0.3,74,0,101.325
0.5,1.1,0,23.1,29.9,0.1,80,0,101.325
1,1.1,0,28.9,21.5,0.05,51,0,101.325
1,1.1,0,27.1,30.1,0.05,66,0,101.325
1,0.9,0,25.5,27.9,0.1,41,0,101.325
1,0.9,0,18.1,28.1,0.8,65,0,101.325
